,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
150,kohl,kartoffeln,eintopf,mahlzeit,klein,schneiden,mehl,kochen,öl,pellen,zwiebel,suppe,abschmecken,aufkochen,anschwitzen,zubereitung,draus,pfeffer,kartoffel,salz
151,ostfront,tod,vermutete,gibt,stellen,munition,ernsts,einzukaufen,eintopf,her,weniger,hart,begonnen,gefährlich,nah,fabrikdienst,plötzlich,getroffen,scholls,passiert
152,vater,gefängnis,umarmt,angelaufen,kommunizieren,traurigem,können,mutter,innig,dienstag,ernsts,leiden,schlimm,eingesperrt,weh,gesicht,söhne,überstehen,erfahren,besten
153,gönnen,otl,tanzen,inge,hätte,jemandem,paartanz,tanz,missgönnt,nagt,beinah,eifersucht,romantik,gehalten,wiedersehe,küssen,strahlt,zweit,verliebt,jemanden
154,tanzen,otl,tanzengehen,wohnzimmertanz,aktuellen,leichtigkeit,innig,dringend,flamme,küssen,träume,verliebt,dahin,inge,momente,lachen,freudig,schauen,vorbei,immerhin
155,feiern,russland,abende,fürchte,kennenlernt,mitteln,russinnen,aufeinander,feuchtfröhlichen,zweifelsfall,russen,absurd,schießen,beschreibt,singt,verlängern,gewinnen,feiert,krieg,briefen
156,russland,reisen,land,fahren,krieg,wäre,hungersnöte,petersburg,toten,sankt,zivilistinnen,ballett,anzusehen,museen,reiselust,dörfer,frontlinie,zeltausflug,geprobt,eisenbahn
157,paket,fritz,dirndlmäßiges,vorgestellt,stoff,kleid,nähe,beruhigt,händen,entscheiden,sachen,geschickt,russland,hören,gesagt,unterwegs,kaum,glauben,mache,gerne
158,kleid,folklore,nachtschicht,stickereien,russischen,alpenländischen,rechnen,gewändern,selbstgenähtes,fabelhaft,selbstgemacht,trachten,traditionell,mäuler,bunte,handarbeitsunterricht,ewigen,üblich,keindirndl,dirndls
159,otl,literatur,avoir,il,wegweisern,un,coeur,faut,le,lektüre,spruch,tendre,gefüttert,dur,lesestoff,harten,gehirn,et,buches,esprit
160,freiheit,eingeschränkt,befeuert,erwische,hinkritzele,unfrei,otls,schlimmste,sind,irgendwo,nochmal,ständig,wort,buch,meisten,frei,leute,kaum,richtig,wissen
161,wahsinnig,motiviert,eifersüchtig,herzlich,ungreifbar,einzumischen,trage,irrsinn,weint,auszuhalten,erscheint,weiterzumachen,stoff,vermisse,kleid,verdient,näher,inge,fertig,wochenrückblick
162,mama,sorgen,papa,zumute,anzuschauen,fotoalben,familienleben,schlimmere,familie,merken,weint,eifersucht,weinen,normale,guten,albern,sauer,söhne,inge,verstehen
163,zwei,regime,söhne,krieg,mutter,familie,kinder,normal,normale,gesund,kind,kindern,drei,scholls,stolz,vater,soldaten,gefängnis,bekommen,viele
164,bauchschmerzen,villa,muth,fabrik,durchgehen,schallplatten,brauchte,gelten,gefüllt,krankmachen,bildern,wahrheit,tatsächlich,magen,vorarbeiter,verbotenen,schriften,regeln,gefahren,bombardiert
