,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
212,otl,aicher,hall,oyxqa4ujwnl7ss2z,jvqbg,sophie,sanatorium,flugblättern,bad,kinder,aktionen,unverfänglich,räderwerk,fahrkartenkauf,inge,vertraue,erfüllungsgehilfen,hansi,sprich,maßnahmen
213,reichsbahn,xiwoz4wpqbdiglksbe1soq,bahn,longerich,grimminger,eugen,bevölkerung,es55a_3oyz2revl9wqfatq,juden,ujgkivbzghpxnly5,ktmpg,bundesbahn,4xly_qjveoglm79xpnos9g,db,ja,jüdischen,ddr,welzer,wurde,osten
214,unterschätzt,wagenklasse,karten,ja,db,vorteil,otl,fahrkarte,sophie,lxl8wug71lcxx_1twmpv4g,fahrkarten,litowsk,zulassungskarte,fauxpas,streckenabschnitt,ärgerlicher,oft,fahrscheine,bundesbahn,verkäufer
215,mannimel,sophie,ausschreitungen,juden,j73hyfzen1cubwdvddktiq,innen,ausruf,ausschreitung,outfit,story,tanzen,spontanen,pogrom,ermordung,projekt,tanzt,jüdinnen,user,y4w7lj8j7fo3g7kyztdrjw,wort
216,pflege,besserung,mutter,pflegebedürftig,uhr,stunde,gute,kümmert,mehr,mama,u7n7eyh8m0n_35anqnm6za,patrouillenboot,gekümmert,gepflegt,kraft,schweden,nachbarn,gottvertrauen,kinder,vater
217,ju,din,bernhuber,fritz,elisabeth,dux,fu,sophie,sophies,fernbeziehung,dischen,scholl,schwester,hib4mkmha,vgwtwb0q_04a,hartnagel,arbeitskräfte,brunner,zentralstelle,fanny
218,mecklenburg,frauenlager,victor,klemperer,herzschwäche,wochenrückblicken,arbeitsstätte,schlachthaus,sechzig,arbeitendes,robust,trambahn,egers,ziegler,erstenmal,zurückzulassen,starte,spätnachmittag,antriebslos,fünfzig
219,inge,leutenberg,unterlagen,sachen,nachbar,mutter,vielleicht,versteckt,sophie,azihoall0fqcrffym,rshw,frag,blockwart,schon,hib4mkmha,vgwtwb0q_04a,muth,_3jh0wrg1egfg9e6qu7fqg,fiktive,hoffe
220,aykcwyipoaxg,il43nuo,flüchtlinge,unterlagen,ihonxzys6uvsssefxktocq,schweizer,flüstert,feind,schweiz,wald,pilze,1942,lügt,wurden,09,wachsen,inge,gestapo,sophie,juden
221,rucksack,erleichterung,reingelegt,gut,leutenberg,mutter,aufzeichnungen,kexsqsnzddhcgy,l7glhcq,geht,unterlagen,erleichtert,westen,front,heimaturlaub,vgwtwb0q_04a,hib4mkmha,langem,opportunismus,erleichternd
222,elisabeth,inge,alhf5vfqdq,qhtkjmcr4l8,sophie,otl,ingolstadt,heirateten,werner,ja,teamsoffer,hält,song,immer,geschwister,scholl,vgwtwb0q_04a,hib4mkmha,heile,_thnzpbupdextj8ora7zew
223,ivqohyvyjch_wztmc28a9w,honigbrot,rezept,elisabeth,inge,rausgeschrieben,backt,ärgern,katie,ggni_ka6_jqmpruhs07laq,schwestern,nutella,salut,werner,erwähnt,jaaa,sophie,geschwisterliebe,kleine,geschwister
224,rezept,zutaten,honigbrot,backen,ktn_5zzngvpknebttczbkq,cnwzhrr9eov7wbn0wd,sternanis,6vq,inge,zimt,zucker,honig,genaues,tw2g,1fblpl7aibkybtdko,ersatzgewürze,italien,gewürze,schmeckt,mehl
225,inge,otl,turn,sophie,1zi2bb4u0hvcxsjuaa4qoq,gardener,tanzt,scholl,colin,sheen,james,talbot,gewusst,heißt,wissen,simon,deutschen,swing,ausgelassen,sp4kirsez48ttlkpfua1kg
226,wart,yzk1lhunoeyx5n4cautaca,regeneriert,blanker,gardner,jamie,colin,sheen,talbot,lieblingslied,turn,musst,bewahre,simon,swing,wände,leutenberg,panik,einweihen,70er
227,vater,haft,grinsen,scharführer,robert,gehört,flötenspiel,haftbedingungen,wurde,unbeschwert,gefängnis,gefangenen,h7w9,backhilfsmittel,maase,bezugsscheinpflicht,2wuw,hrkzijw5uusq,ja,leibesübungen
228,wut,genfer,konvention,kriegsgefangenen,beobachter,regelwerk,völkische,anno,zeitungen,konventionen,alake0shplvoddbft4oqa,zeitung,likes,regeln,weltkrieg,zoom,aid,dampf,vob,abkommen
229,lisa,anhalter,reise,alleine,schlammere,verreise,schlampere,116,ungarn,verreisen,per,allein,manchmal,reisen,begleitung,kallay,jagow,trampen,reiseform,reisevorbereitungen
230,sütterlin,fza_58lg_ujnyi5s_,wiya,gefühlte,klai0_ma730mydveou66tq,reise,h1gwep_4grhfesypiimexg,verboten,feldpost,ewigkeit,sophie,post,zusammenfassung,account,see,alex,handschriftbild,süßich,pjcq44lk8vlehy9vdrac7q,ausgestalteten
231,fritz,sophie,liebesbriefe,324f,_s_fischer,brief,hartnagel,hib4mkmha,vgwtwb0q_04a,gut,briefe,mwp,catabcm48ijmdtoguw,ja,wiedergesehen,worte,verlängert,manchmal,bewahre,professoren
232,inge,otl,pinsk,elisabeth,einweihen,gründete,fwrboihdyiv5leymll4slq,kinderkrankenschwester,schwester,ingolstadt,eigentlich,sophie,familienhilfe,brauaqg93nv36jbf8aaqaw,spiel,geschwister,büglerin,ufv9i86nmvethirdhpmzdw,2flvnzpuo7lzc3kcspxsw,scholl
233,freiburg,baden,wohne,offenburg,städte,stuttgart,reise,karlsruhe,ulm,münster,unterstützer,sophie,stadt,rose,alleingang,weiße,kenne,städten,xc7orsqgo631i52ztyknzq,beschäftigte
234,reise,erfolg,mp_gvftfof5fmlmyvvtfwq,sophie,stuttgart,viel,vorsichtig,wintersemester,rose,elemente,teamsoffer,november,otl,auen5ib71aqn3f0oftlsua,adressen,inge,semester,soffer,möglichen,liste
235,karlsruhe,handschuhe,schloss,reichsbahn,intercity,pinsk,getaufte,menschen,muth,reise,dame,innen,unterstützer,jehovas,abteile,slavica,jüd,zoo,abteil,bahn
236,i30ugt5vmqufee9ci495,otl,inge,treffen,freudestrahlend,gefahr,spe,schwester,möglichen,sophie,reise,strahlst,freund,vorfreude,hall,hätte,situation,schwiegereltern,einrichtung,erzählen
237,grafeneck,ehemalige,baden,176f,nichtwas,wiederseh,vergasen,zugesichert,gutgehen,unachtsamkeit,umgebaut,tötungsanstalten,sprung,offenburg,pflegeanstalt,zurückkommen,giusy79_,reise,zentralen,reichsgebiet
238,zigaretten,menschen,filterzigaretten,pmosyesx_pncqymcqhfgg,zivilisation,brody,baracken,wettlauf,baracke,unvorsichtig,bulgarischen,deportiert,sophie,bulgarien,wurde,mutig,schubkarren,bv_qneq,cahen,rsi_znykkxhrru
239,sophie,reise,2021,freiburg,gottschalk,zoske,offenburg,kontakte,muth,246,grimminger,scholl,unterstützer,belege,kräftezehrend,verlag,unterstützung,eugen,vertrauen,dargestellte
240,grafeneck,menschen,euthanasie,predigten,gedenkstätte,txxingx4vg,cwelxcuzt0x,behinderung,t4,morden,abgetrieben,schrecklich,psychisch,lebenswert,pflegekräfte,einrichtung,wurde,behindert,kranken,heute
241,otl,aicher,sophie,held,cluc8wrx6s4dfoyt0zuw,inge,helden,münster,treffen,innenseiten,elsässer,ned57brekkx8f5zyhlptew,dauern,gründen,einberufung,selbstbezogen,märz,_thnzpbupdextj8ora7zew,ja,munster
242,otl,freundschaft,inge,freundschaften,geht,1952,xtufob95nz01uvcjsq9kba,sophie,elisabeth,aicher,heiratete,männern,fritz,gestaltung,klar,funktionieren,ja,ettenheim,heimsuchung,zunatürlich
243,otl,stricken,épinal,lesen,kreuzworträtsel,bahnfahrten,hib4mkmha,vgwtwb0q_04a,reise,km,lese,dabei,70,d5dn2w1ttx,drrtoixf5bg,gebirgspass,essen,1942,schlafen,umstieg
244,otl,inge,aicher,heiratet,erzählen,nachhinein,r9q,chkpuni48kc8mxxv26,heirateten,geheimnisse,elisabeth,1952,vereinbarung,eifersüchtig,scholl,fritz,sophie,gründete,kriegsgefangenenarbeitslager,dschsbnbmjwni0lj4koh9g
245,rühmann,tosyknwxvpnrprjurdopgg,inge,beziehungen,grimminger,verheiratet,jüdin,nürnberger,simp,albers,heinz,prominentesten,mrheeffqedhh6uqmwn4lpa,scheidung,h7kmzutymvssnfvg4fw_aw,eugen,heiraten,jüdischen,bewegende,kxh0mjoqerubxyfctnewmq
246,grynszpan,schwester,inge,herschel,rath,sophie,wahrheit,sagen,denke,überraschung,suizid,vertrauen,sollst,verhalten,meinung,tust,verbündeter,halloo,verschlafenen,vorgelassen
247,dpusbztvupe3hoegulw9jq,werner,elisabeth,hans,zeit,geschwistern,brüder,sophie,getrennt,scholl,ja,bruder,schwester,geschwister,münchen,front,korrekt,vermisst,familie,mehr
